grade,substandard_description,substandard_id,direct_instructions,match_confidence,similarity_score,llm_explanation
4,"Divide a three-digit dividend by a one-digit divisor with the standard algorithm, yielding a whole-number quotient and no remainder.",CCSS.MATH.CONTENT.4.NBT.B.6+3,Skill: Division | Problem Type: One-digit divisor; two- or three-digit dividend; two-digit quotient; no remainder. | Sequence: 1,High,0.600,"The direct instruction format covers the core operation (division by a one-digit divisor with no remainder) and includes three-digit dividends. However, it significantly deviates by including two-digit dividends, which are not specified in the standard, and, more critically, it explicitly restricts the quotient to two digits. This restriction means the instruction format fails to cover cases where a three-digit dividend divided by a one-digit divisor yields a three-digit quotient (e.g., 999 divided by 3), which are implicitly part of the curriculum standard."
4,Converting fractions of turns to degrees.,CCSS.MATH.CONTENT.4.MD.C.6+5,Skill: Fractions | Problem Type: Multiplying fractions by whole numerals and converting answers to mixed numerals | Sequence: 7,Low,0.284,
4,"Divide a three-digit dividend by a one-digit divisor with the standard algorithm, recording any remainder.",CCSS.MATH.CONTENT.4.NBT.B.6+4,Skill: Division | Problem Type: One-digit divisor; three- or four-digit dividend; three-digit quotient with a zero. | Sequence: 6,High,0.750,"The instruction format includes the specified three-digit dividends by one-digit divisors, but it also extends to four-digit dividends, exceeding the standard's precise scope. Furthermore, it focuses on problems yielding a ""three-digit quotient with a zero,"" which is a specific characteristic not universally required by the general standard."
4,"Divide a four-digit dividend by a one-digit divisor with the standard algorithm, with or without a remainder.",CCSS.MATH.CONTENT.4.NBT.B.6+5,Skill: Division | Problem Type: One-digit divisor; three- or four-digit dividend; three-digit quotient with a zero. | Sequence: 6,High,0.650,"The format aligns well on the one-digit divisor and the use of the standard algorithm. It includes four-digit dividends, which is a core requirement. However, it also includes three-digit dividends (e.g., 5)520), which fall below the standard's specified complexity. More significantly, the format narrows the focus to a specific problem type: those with a ""three-digit quotient with a zero,"" which is a subset of the broader range of problems covered by the standard (e.g., four-digit quotients or quotients without zeros are excluded)."
4,Use the standard long-division algorithm to find whole-number quotients and record and interpret any remainders.,CCSS.MATH.CONTENT.4.NBT.B.6+2,Skill: Fractions | Problem Type: Finding the least common multiple of two small numbers | Sequence: 10,Very Low,0.196,
4,Evaluate multi-step numerical expressions that include any of the four operations by correctly applying the conventional order of operations to obtain your answer.,CCSS.MATH.CONTENT.4.OA.A.3+1,Skill: Measurement | Problem Type: Customary units: operations—regrouping required | Sequence: 2,Very Low,0.198,
4,Complete multiplication sentences that multiply unit fractions by whole numbers without models.,CCSS.MATH.CONTENT.4.NF.B.4.A+2,Skill: Fractions | Problem Type: Multiplying fractions by a whole number | Sequence: 6,Low,0.210,
4,Write an equation for a multi-step word problem that include any of the four operations.,CCSS.MATH.CONTENT.4.OA.A.3+3,Skill: Geometry | Problem Type: Label angles | Sequence: 3,Low,0.308,
4,"Calculate the average of a set of numbers by adding the numbers together and dividing by the total count, and solve real-world problems involving averages.",CCSS.MATH.CONTENT.4.OA.A.3+4,Skill: Fractions | Problem Type: Finding the least common multiple of two small numbers | Sequence: 10,Low,0.255,
4,"Write equations for equations including addition, subtraction, multiplication, and division. This includes expressing multiplicative relationships.",CCSS.MATH.CONTENT.4.OA.A.1+3,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Low,0.234,
4,Solve multistep word problems.,CCSS.MATH.CONTENT.4.OA.A.3+6,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Low,0.201,
4,Assess the reasonableness of multistep word problems by rounding.,CCSS.MATH.CONTENT.4.OA.A.3+7,Skill: Fractions | Problem Type: Word problems: multiplying fractions by whole numerals | Sequence: 8,Very Low,0.186,
4,Convert between mixed numbers and improper fractions.,CCSS.MATH.CONTENT.4.NF.B.3.A+3,Skill: Fractions | Problem Type: Adding and subtracting mixed numbers: fractions with like denominators | Sequence: 2,Low,0.268,
4,"Understand and convert between basic time units (seconds, minutes, hours) to solve time-related problems.",CCSS.MATH.CONTENT.4.MD.A.1+1,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Very Low,0.163,
4,Solve problems involving elapsed time.,CCSS.MATH.CONTENT.4.MD.A.2+5,Skill: Data Analysis | Problem Type: Solve problems involving addition and subtraction of fractions using information from line plots | Sequence: 1,Very Low,0.194,
4,Convert between 12-hour (a.m./p.m.) and 24-hour (military) time and solve elapsed-time word problems that use either format.,CCSS.MATH.CONTENT.4.MD.A.2+1,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Low,0.209,
4,Use rulers to measure objects in inches.,CCSS.MATH.CONTENT.4.MD.A.2+2-old,Skill: Geometry | Problem Type: Define degree/measure angles using a protractor | Sequence: 4,Low,0.227,
4,Use rulers to measure objects in centimeters and millimeters.,CCSS.MATH.CONTENT.4.MD.A.2+3,Skill: Geometry | Problem Type: Define degree/measure angles using a protractor | Sequence: 4,Low,0.201,
4,"Add mixed numbers with a common denominator by combining their whole-number parts and fractional parts, without regrouping.",CCSS.MATH.CONTENT.4.NF.B.3.A+5,Skill: Fractions | Problem Type: Multiplying fractions by a whole number | Sequence: 6,Very Low,0.195,
4,Identify which customary units are appropriate for a given situation.,CCSS.MATH.CONTENT.4.MD.A.1+8,Skill: Measurement | Problem Type: Customary units: operations—regrouping required | Sequence: 2,Very Low,0.154,
4,"Convert and solve problems involving linear measurement using inches, feet, yards and miles.",CCSS.MATH.CONTENT.4.MD.A.1+2,Skill: Measurement | Problem Type: Conversions | Sequence: 4,Low,0.377,
4,Recognize and apply the conversion relationships among customary weight units to solve measurement problems.,CCSS.MATH.CONTENT.4.MD.A.1+4,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Very Low,0.180,
4,Convert between customary volume units to solve measurement problems.,CCSS.MATH.CONTENT.4.MD.A.1+6,Skill: Measurement | Problem Type: Customary units: story problems—renaming | Sequence: 3,Very Low,0.185,
4,Identify which metric units are appropriate for a given situation.,CCSS.MATH.CONTENT.4.MD.A.1+9,Skill: Decimals | Problem Type: Reading tenths and hundredths | Sequence: 1,Very Low,0.113,
4,"Convert and solve problems involving linear measurement using metric length units (kilometers, meters, centimeters)",CCSS.MATH.CONTENT.4.MD.A.1+3,Skill: Data Analysis | Problem Type: Solve problems involving addition and subtraction of fractions using information from line plots | Sequence: 1,Low,0.235,
4,"Understand and compare metric weight units, including recognizing the relative values of grams and kilograms.",CCSS.MATH.CONTENT.4.MD.A.1+5,Skill: Fractions | Problem Type: Finding the least common multiple of two small numbers | Sequence: 10,Very Low,0.189,
4,"Add mixed numbers with a common denominator by combining their whole-number parts and fractional parts, with regrouping.",CCSS.MATH.CONTENT.4.NF.B.3.A+7,Skill: Fractions | Problem Type: Adding and subtracting mixed numbers: fractions with like denominators | Sequence: 2,Very Low,0.194,
4,Convert between metric volume units  of liters and milliliters to solve measurement problems.,CCSS.MATH.CONTENT.4.MD.A.1+7,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Very Low,0.187,
4,Create equivalent fractions by multiplying the numerator and denominator by the same number.,CCSS.MATH.CONTENT.4.NF.A.1+1,Skill: Fractions | Problem Type: Multiplying fractions by a whole number | Sequence: 6,Low,0.335,
4,Type a missing number that makes two fractions equal.,CCSS.MATH.CONTENT.4.NF.A.1+3,Skill: Fractions | Problem Type: Multiplying fractions by a whole number | Sequence: 6,Low,0.210,
4,Simplify fraction to lowest terms.,CCSS.MATH.CONTENT.4.NF.A.1+2,Skill: Division | Problem Type: Rounding to the nearest 10. | Sequence: 8,Low,0.201,
4,Decompose fractions into unit fractions using models.,CCSS.MATH.CONTENT.4.NF.A.1+4,Skill: Fractions | Problem Type: Rewriting fractions as equivalent fractions with larger denominators | Sequence: 9,Low,0.258,
4,Write a fraction as a sum of fractions.,CCSS.MATH.CONTENT.4.NF.A.1+5,Skill: Decimals | Problem Type: Writing tenths and hundredths | Sequence: 2,Very Low,0.000,"The curriculum standard requires decomposing a fraction into a sum of other fractions. The direct instruction format, however, focuses entirely on converting fractions (specifically tenths and hundredths) into decimal numerals. These are distinct mathematical skills with no direct overlap in the task required or the concept being taught."
4,Write an improper fraction as a sum of fractions.,CCSS.MATH.CONTENT.4.NF.A.1+6,Skill: Decimals | Problem Type: Writing tenths and hundredths | Sequence: 2,Very Low,0.100,"The direct instruction focuses on converting proper fractions (tenths and hundredths) to decimal numerals, while the standard requires decomposing improper fractions into a sum of fractions. These are distinct mathematical skills and representations."
4,Decompose fractions multiple ways.,CCSS.MATH.CONTENT.4.NF.A.1+7,Skill: Fractions | Problem Type: Finding the least common multiple of two small numbers | Sequence: 10,Low,0.242,
4,Decompose proper fractions into a sum of fractions in multiple ways.,CCSS.MATH.CONTENT.4.NF.B.3.A+1-old,Skill: Fractions | Problem Type: Rewriting fractions as equivalent fractions with larger denominators | Sequence: 9,Low,0.223,
4,Decompose improper fractions into a sum of fractions in multiple ways.,CCSS.MATH.CONTENT.4.NF.B.3.B+1-old,Skill: Fractions | Problem Type: Rewriting fractions as equivalent fractions with larger denominators | Sequence: 9,Low,0.223,
4,Multiply unit fractions by whole numbers with models.,CCSS.MATH.CONTENT.4.NF.B.4.A+1,Skill: Fractions | Problem Type: Multiplying fractions by a whole number | Sequence: 6,Low,0.258,
4,Compare fractions with benchmarks.,CCSS.MATH.CONTENT.4.NF.A.2+3,Skill: Fractions | Problem Type: Rewriting fractions as equivalent fractions with larger denominators | Sequence: 9,Low,0.293,
4,"Determine >, <, or = for the two fractions provided using equivalent fractions.",CCSS.MATH.CONTENT.4.NF.A.2+1,Skill: Fractions | Problem Type: Rewriting fractions as equivalent fractions with larger denominators | Sequence: 9,Low,0.324,
4,Compare and order a set of fractions from least to greatest (or greatest to least).,CCSS.MATH.CONTENT.4.NF.A.2+2,Skill: Fractions | Problem Type: Finding the least common multiple of two small numbers | Sequence: 10,Low,0.308,
4,Add fractions within one with the same denominator.,CCSS.MATH.CONTENT.4.NF.B.3.A+4,Skill: Fractions | Problem Type: Rewriting fractions as equivalent fractions with larger denominators | Sequence: 9,Low,0.207,
4,Add fractions greater than one with the same denominator.,CCSS.MATH.CONTENT.4.NF.B.3.A+6,Skill: Fractions | Problem Type: Rewriting fractions as equivalent fractions with larger denominators | Sequence: 9,Very Low,0.195,
4,"Subtract a mixed number minus a fraction, without regrouping.",CCSS.MATH.CONTENT.4.NF.B.3.C+1,Skill: Decimals | Problem Type: Writing mixed decimals: tenths and hundredths | Sequence: 4,Low,0.222,
4,"Subtract a mixed number minus a fraction, with regrouping.",CCSS.MATH.CONTENT.4.NF.B.3.A+8,Skill: Decimals | Problem Type: Writing mixed decimals: tenths and hundredths | Sequence: 4,Low,0.222,
4,Whole number minus mixed number,CCSS.MATH.CONTENT.4.NF.B.3.C+3,Skill: Fractions | Problem Type: Multiplying fractions by a whole number | Sequence: 6,Low,0.331,
4,Mixed number minus a mixed number,CCSS.MATH.CONTENT.4.NF.B.3.C+2,Skill: Decimals | Problem Type: Writing mixed decimals: tenths and hundredths | Sequence: 4,Low,0.391,
4,"Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem.",CCSS.MATH.CONTENT.4.NF.B.3.D+1,Skill: Data Analysis | Problem Type: Solve problems involving addition and subtraction of fractions using information from line plots | Sequence: 1,Low,0.296,
4,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8).",CCSS.MATH.CONTENT.4.MD.B.4+1,Skill: Fractions | Problem Type: Multiplying fractions | Sequence: 1,Very Low,0.050,"The curriculum standard requires students to create line plots for data involving fractional measurements. The direct instruction focuses exclusively on the arithmetic operation of multiplying fractions. While both involve fractions, the core skill and context—data representation versus arithmetic computation—are entirely distinct, resulting in minimal alignment."
4,Solve problems involving addition and subtraction of fractions by using information presented in line plots.,CCSS.MATH.CONTENT.4.MD.B.4+2,Skill: Data Analysis | Problem Type: Solve problems involving addition and subtraction of fractions using information from line plots | Sequence: 1,Very High,1.000,"The direct instruction format's ""Problem Type"" is a verbatim restatement of the curriculum standard, and its examples perfectly illustrate both the addition and subtraction of fractions using data (e.g., pencil lengths) typically found on a line plot, aligning completely with the standard's requirements."
4,Solve mathematical problems involving multiplying whole numbers and fractions with models and repeated addition.,CCSS.MATH.CONTENT.4.NF.B.4.B+1,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Low,0.261,
4,Solving mathematical problems involving multiplying whole numbers and fractions.,CCSS.MATH.CONTENT.4.NF.B.4.B+3,Skill: Fractions | Problem Type: Multiplying fractions by whole numerals and converting answers to mixed numerals | Sequence: 7,Low,0.264,
4,Solve real-world problems involving multiplying fractions by whole numbers.,CCSS.MATH.CONTENT.4.NF.B.4.C+1,Skill: Fractions | Problem Type: Multiplying fractions by a whole number | Sequence: 6,Low,0.318,
4,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, or masses of objects involving simple fractions",CCSS.MATH.CONTENT.4.MD.A.2+4,Skill: Data Analysis | Problem Type: Solve problems involving addition and subtraction of fractions using information from line plots | Sequence: 1,Low,0.220,
4,Express a fraction with denominator 10 as an equivalent fraction with denominator 100.,CCSS.MATH.CONTENT.4.NF.C.5+1,Skill: Decimals | Problem Type: Writing tenths and hundredths | Sequence: 2,Low,0.364,
4,"Add two fractions with respective denominators 10 and 100 (e.g. Express 3/10 as 30/100, and add 3/10 + 4/100 = 34/100.)",CCSS.MATH.CONTENT.4.NF.C.5+2,Skill: Fractions | Problem Type: Adding and subtracting fractions with unlike denominators | Sequence: 11,Low,0.392,
4,Identify place value of digits in decimal numbers.,CCSS.MATH.CONTENT.4.NF.C.6+2,Skill: Pre-Algebra | Problem Type: Factoring | Sequence: 2,Very Low,0.179,
4,Convert between fractions and decimals.,CCSS.MATH.CONTENT.4.NF.C.6+6,Skill: Fractions | Problem Type: Rewriting fractions as equivalent fractions with larger denominators | Sequence: 9,Very Low,0.173,
4,Model tenths with decimals and mixed numbers.,CCSS.MATH.CONTENT.4.NF.C.6+1,Skill: Decimals | Problem Type: Reading mixed decimals: tenths and hundredths | Sequence: 3,Low,0.332,
4,Graph a fraction on a number line that is labelled with decimals.,CCSS.MATH.CONTENT.4.NF.C.6+8,Skill: Geometry | Problem Type: Define/identify radius | Sequence: 1,Low,0.293,
4,Convert freely between fractions with denominators 10 and their equivalent decimal forms,CCSS.MATH.CONTENT.4.NF.C.6+1-old,Skill: Fractions | Problem Type: Rewriting fractions as equivalent fractions with larger denominators | Sequence: 9,Low,0.200,"The direct instruction format focuses on rewriting fractions as equivalent fractions with larger denominators, which is a prerequisite skill for some fractions to be converted to tenths (e.g., 2/5 to 4/10). However, it entirely misses the core task of the standard, which is the actual conversion to and from equivalent decimal forms."
4,Convert freely between fractions with denominators 100 and their equivalent decimal form.,CCSS.MATH.CONTENT.4.NF.C.6+7-old,Skill: Fractions | Problem Type: Rewriting fractions as equivalent fractions with larger denominators | Sequence: 9,Low,0.352,
4,Compare two decimals to the hundredths place using models.,CCSS.MATH.CONTENT.4.NF.C.7+3,Skill: Decimals | Problem Type: Reading mixed decimals: tenths and hundredths | Sequence: 3,Very Low,0.189,
4,Compare two decimals to the hundredths place.,CCSS.MATH.CONTENT.4.NF.C.7+1,Skill: Decimals | Problem Type: Reading mixed decimals: tenths and hundredths | Sequence: 3,Low,0.214,
4,Order a list of decimals.,CCSS.MATH.CONTENT.4.NF.C.7+2,Skill: Decimals | Problem Type: Ordering mixed decimals | Sequence: 7,Low,0.235,
4,Add two fractions with respective denominators 10 and 100 using the common denominator of 100.,CCSS.MATH.CONTENT.4.NF.C.6+3,Skill: Fractions | Problem Type: Finding the least common multiple of two small numbers | Sequence: 10,Low,0.298,
4,Solve problems involving area.,CCSS.MATH.CONTENT.4.MD.A.3+1,Skill: Data Analysis | Problem Type: Solve problems involving addition and subtraction of fractions using information from line plots | Sequence: 1,Low,0.217,
4,Solve problems involving perimeter.,CCSS.MATH.CONTENT.4.MD.A.3+2,Skill: Geometry | Problem Type: Find the perimeter of various polygons | Sequence: 13,Low,0.281,
4,Solve area and perimeter problems.,CCSS.MATH.CONTENT.4.MD.A.3+3,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Low,0.301,
4,"Recognize, name, and use the properties of lines, rays, and angles to analyze and solve geometric problems.",CCSS.MATH.CONTENT.4.MD.C.5.A+1,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Low,0.253,
4,Determine and record angle measurements in degrees using a protractor.,CCSS.MATH.CONTENT.4.MD.C.6+1,"Skill: Geometry | Problem Type: State the degrees in an angle, given examples of a right angle, a straight angle, or a full circle | Sequence: 14",Low,0.300,"The direct instruction format aligns with determining and stating degrees in angles, but it completely omits the critical requirement of ""using a protractor"" to determine and record measurements. Instead, it focuses on recalling known degree measures for specific angle types (right, straight, full circle), which can be done without the tool, thus missing the core skill the standard aims to teach."
4,Measure angles on a circle.,CCSS.MATH.CONTENT.4.MD.C.6+3,Skill: Geometry | Problem Type: Define degree/measure angles using a protractor | Sequence: 4,Very High,0.900,"The direct instruction format directly addresses the core skill of ""measure angles"" by focusing on defining degrees and using a protractor. This is a fundamental and essential component for fulfilling the curriculum standard. The only minor misalignment is that the direct instruction's description doesn't explicitly state that the angles to be measured will *always* be presented ""on a circle,"" although it's highly probable that such examples would be included to align with the standard. The foundational skill taught is perfectly aligned, making it a very strong match."
4,Use fractions to find the measure of an angle.,CCSS.MATH.CONTENT.4.MD.C.6+4,"Skill: Geometry | Problem Type: State the degrees in an angle, given examples of a right angle, a straight angle, or a full circle | Sequence: 14",Low,0.354,
4,Construct angles by accurately aligning a protractor with a reference baseline and marking the specified degree measurement.,CCSS.MATH.CONTENT.4.MD.C.6+2,Skill: Geometry | Problem Type: Construct angles using a protractor | Sequence: 5,Low,0.381,
4,"Identify right angles, obtuse angles, acute angles",CCSS.MATH.CONTENT.4.G.A.1+1,Skill: Geometry | Problem Type: Construct angles using a protractor | Sequence: 5,Medium,0.450,"The direct instruction focuses on the skill of *constructing* angles with a protractor, which is different from *identifying* pre-existing angles. While constructing angles (like 90° and 45°) can build foundational understanding for what right and acute angles look like, it doesn't directly practice the identification skill. Additionally, the provided examples omit obtuse angles, which are explicitly part of the curriculum standard."
4,Recognize that angle measure is additive and determine unknown angles by decomposing angles into non-overlapping parts and solving addition or subtraction equations in diagrams and real-world contexts.,CCSS.MATH.CONTENT.4.MD.C.7+1,Skill: Geometry | Problem Type: Define degree/measure angles using a protractor | Sequence: 4,Low,0.262,
4,Solve word problems involving unknown angles.,CCSS.MATH.CONTENT.4.MD.C.7+2,Skill: Geometry | Problem Type: Construct angles using a protractor | Sequence: 5,Low,0.209,
4,Identify parallel and perpendicular lines.,CCSS.MATH.CONTENT.4.G.A.1+2,"Skill: Decimals | Problem Type: Column alignment: adding tenths, hundredths, and whole numerals | Sequence: 5",Very Low,0.121,
4,"Identify and classify quadrilaterals as parallelograms, rhombi, trapezoids, or non-parallelograms using their defining properties.",CCSS.MATH.CONTENT.4.G.A.2+1,Skill: Decimals | Problem Type: Writing tenths and hundredths | Sequence: 2,Very Low,0.101,
4,"Classify triangles as right, acute, or obtuse.",CCSS.MATH.CONTENT.4.G.A.2+2,Skill: Geometry | Problem Type: Define/identify acute angle | Sequence: 7,Low,0.280,
4,"Identify if a given triangle is scalene, isosceles but not equilateral, or equilateral",CCSS.MATH.CONTENT.4.G.A.2+3,Skill: Geometry | Problem Type: Define/identify equilateral triangle | Sequence: 10,High,0.615,
