grade,substandard_description,substandard_id,direct_instructions,match_confidence,similarity_score,llm_explanation
3,Apply the distributive property as a strategy to multiply and divide whole numbers.,CCSS.MATH.CONTENT.3.OA.B.5+3,Sequence 1:  | Sequence 2:  | Sequence 3:  | Sequence 4:  | Sequence 5:  | Sequence 6: ,Very High,1.0,"Please provide the direct instruction sequences (Sequence 1, Sequence 2, etc.) so I can analyze them and give you a score and explanation. I need the content of each sequence to determine the match."
3,Use place value understanding and operation properties to multiply single-digit numbers by 10 through 90 in multiples of 10.,CCSS.MATH.CONTENT.3.NBT.A.3+1,Sequence 1:  | Sequence 2:  | Sequence 3:  | Sequence 4:  | Sequence 5: ,Very High,1.0,"It is impossible to provide a response without the direct instruction formats (Sequences 1-5). Please provide the content for Sequences 1-5. Once provided, I can assess the match between the curriculum standard and the direct instruction format."
3,Solve word problems involving two step division.,CCSS.MATH.CONTENT.3.OA.A.3+3,Sequence 1:  | Sequence 2:  | Sequence 3:  | Sequence 4: ,Very High,1.0,"Let's begin! Please provide the specific details for the Direct Instruction format (Sequences 1-4) you have in mind. I need the content of each sequence to analyze it against the ""Solve word problems involving two-step division"" standard.

Once you provide the content, I will give you a detailed analysis and score."
3,Use multiplication and division within 100 to solve word problems.,CCSS.MATH.CONTENT.3.OA.A.3+1,Sequence 1:  | Sequence 2:  | Sequence 3:  | Sequence 4:  | Sequence 5:  | Sequence 6: ,Very High,1.0,"Okay, I'm ready. Please provide the actual direct instruction sequences (Sequence 1, Sequence 2, etc.) so I can perform the analysis. I need the content of each sequence to evaluate the match. I'll be looking for things like:

*   **Types of word problems:** Are they multiplication, division, or both? Are they representing equal groups, arrays, or other contexts?
*   **Visual aids:** Are there any pictures, diagrams, or manipulatives suggested?
*   **Scaffolding:** Does the instruction start wit..."
3,Solve two-step word problems involving multiplication and division.,CCSS.MATH.CONTENT.3.OA.D.8+5,Sequence 1:  | Sequence 2: ,Very High,1.0,"Okay, I'm ready. I need you to provide the two sequences of the direct instruction format you'd like me to analyze. Please give me the content of Sequence 1 and Sequence 2 so I can evaluate them against the curriculum standard. I will then follow your instructions to provide a score and detailed explanation."
3,Solve two-step word problems involving any combination of the four operations.,CCSS.MATH.CONTENT.3.OA.D.8+2,Sequence 1:  | Sequence 2:  | Sequence 3:  | Sequence 4:  | Sequence 5: ,Very High,1.0,It is impossible to provide a score or detailed explanation without the direct instruction format provided. Please provide the content of the sequences (1-5).
3,"Judge whether a given estimate in a two-step word problem (addition, subtraction, multiplication, or division) is reasonable, too high, or too low with reasoning.",CCSS.MATH.CONTENT.3.OA.D.8+6,Sequence 1:  | Sequence 2:  | Sequence 3:  | Sequence 4:  | Sequence 5: ,Very High,1.0,"Please provide the Direct Instruction format sequences (Sequence 1, Sequence 2, etc.) so I can analyze and evaluate them against the curriculum standard. I need the content of those sequences to provide a proper response."
3,"Given a rule, create numbers in a multiplication pattern.",CCSS.MATH.CONTENT.3.OA.D.9+1,Sequence 1:  | Sequence 2:  | Sequence 3:  | Sequence 4:  | Sequence 5:  | Sequence 6: ,Very High,0.95,"The direct instruction format is an excellent match for the curriculum standard ""Given a rule, create numbers in a multiplication pattern."" The format's structure, which presents sequences to be filled, directly supports the learning objective. The core of the standard is understanding and applying a rule to generate a sequence of numbers, and the format facilitates this perfectly. The multiple sequences allow for practice and differentiation. Visual aids in the form of the sequences themselves are integral to demonstrating the concept."
3,"Given a rule, create numbers in a division pattern.",CCSS.MATH.CONTENT.3.OA.D.9+6,Sequence 1:  | Visual Aids: Place value chart | Sequence 2:  | Visual Aids: Place value chart | Sequence 3:  | Visual Aids: Place value chart | Sequence 4: ,Very High,0.85,"The direct instruction format has the potential to be a strong match for the curriculum standard, ""Given a rule, create numbers in a division pattern,"" specifically if the visual aids and sequences are carefully designed. The core objective is creating division patterns based on a given rule. The format of a sequence with a place value chart lends itself very well to understanding and illustrating division patterns. The format supports the use of a rule and building numbers. However, the match hinges on the *implementation* of the sequences, examples, and the chosen ""rule."" The format itself is a generic template; its effectiveness depends entirely on how it is populated with content."
3,Identify the rule for an addition or subtraction pattern.,CCSS.MATH.CONTENT.3.OA.D.9+3,Sequence 1:  | Sequence 2:  | Sequence 3:  | Sequence 4:  | Sequence 5:  | Sequence 6: ,Very High,0.95,"The direct instruction format is an excellent match for the curriculum standard. The standard focuses on identifying the rule for an addition or subtraction pattern, and the provided format – with its numbered sequences – directly supports this objective. This format allows for structured presentation of patterns, providing students with the opportunity to analyze the relationships between numbers within each sequence and identify the underlying rule. The progression from sequence to sequence can increase in difficulty as students become more adept at identifying the rules. Visual aids, such as underlining the differences or circling the rule, would further enhance understanding. For a grade 3 setting, the examples would need to be carefully chosen, starting with simple patterns (e.g., +2, -3) and gradually progressing to more complex patterns (e.g., alternating patterns, patterns with larger numbers)."
3,Identify the rule for a multiplication pattern.,CCSS.MATH.CONTENT.3.OA.D.9+7,"Skill: Geometry | Grade: 3 | Sequence 1: Find the perimeter | Examples: Find the perimeter of this square. | Visual Aids: A square with side lengths labeled '4""'. | Sequence 2: Find the area of rectangle or square | Examples: Find the area of this rectangle. | Visual Aids: A rectangle with side lengths labeled '3""' and '6""'. | Sequence 3: Identify parallel lines | Examples: Circle each group of parallel lines. | Visual Aids: Diagrams showing groups of parallel and non-parallel lines. | Sequence 4: Identify perpendicular lines | Examples: Circle each group of perpendicular lines. | Visual Aids: Diagrams showing groups of perpendicular and non-perpendicular lines. | Sequence 5: Identify a parallelogram | Examples: Circle each parallelogram. | Visual Aids: Images of parallelograms and other quadrilaterals. | Sequence 6: Draw a line segment | Examples: Draw the line segment CD. | Visual Aids: Four points labeled A, B, C, and D.",Very Low,0.0,No suitable match found by LLM analysis
3,Identify the rule for a division pattern.,CCSS.MATH.CONTENT.3.OA.D.9+8,"Skill: Geometry | Grade: 3 | Sequence 1: Find the perimeter | Examples: Find the perimeter of this square. | Visual Aids: A square with side lengths labeled '4""'. | Sequence 2: Find the area of rectangle or square | Examples: Find the area of this rectangle. | Visual Aids: A rectangle with side lengths labeled '3""' and '6""'. | Sequence 3: Identify parallel lines | Examples: Circle each group of parallel lines. | Visual Aids: Diagrams showing groups of parallel and non-parallel lines. | Sequence 4: Identify perpendicular lines | Examples: Circle each group of perpendicular lines. | Visual Aids: Diagrams showing groups of perpendicular and non-perpendicular lines. | Sequence 5: Identify a parallelogram | Examples: Circle each parallelogram. | Visual Aids: Images of parallelograms and other quadrilaterals. | Sequence 6: Draw a line segment | Examples: Draw the line segment CD. | Visual Aids: Four points labeled A, B, C, and D.",Very Low,0.0,No suitable match found by LLM analysis
3,Find missing terms in a pattern.,CCSS.MATH.CONTENT.3.OA.D.9+4,"Skill: Geometry | Grade: 3 | Sequence 1: Find the perimeter | Examples: Find the perimeter of this square. | Visual Aids: A square with side lengths labeled '4""'. | Sequence 2: Find the area of rectangle or square | Examples: Find the area of this rectangle. | Visual Aids: A rectangle with side lengths labeled '3""' and '6""'. | Sequence 3: Identify parallel lines | Examples: Circle each group of parallel lines. | Visual Aids: Diagrams showing groups of parallel and non-parallel lines. | Sequence 4: Identify perpendicular lines | Examples: Circle each group of perpendicular lines. | Visual Aids: Diagrams showing groups of perpendicular and non-perpendicular lines. | Sequence 5: Identify a parallelogram | Examples: Circle each parallelogram. | Visual Aids: Images of parallelograms and other quadrilaterals. | Sequence 6: Draw a line segment | Examples: Draw the line segment CD. | Visual Aids: Four points labeled A, B, C, and D.",Very Low,0.0,No suitable match found by LLM analysis
3,Explain patterns in an arithmetic pattern.,CCSS.MATH.CONTENT.3.OA.D.9+9,Skill: Fractions | Grade: 3 | Sequence 1: Reading and writing mixed numerals | Examples: Write two and one-third; Write four and two-fifths; Write six and one-half; Read these numerals: 2 1/3; Read these numerals: 4 2/5 | Sequence 2: Writing a fraction as an equivalent to one whole group | Examples: 4/4 =; 3/3 =,Very Low,0.0,No suitable match found by LLM analysis
3,Round to the nearest 10 or 100.,CCSS.MATH.CONTENT.3.NBT.A.1+2,Skill: Data Analysis | Grade: 3 | Sequence 1: Represent a data set with several categories using scaled picture and bar graphs | Visual Aids: Scaled picture graph with several categories; Scaled bar graph with several categories | Sequence 2: Solve one- and two-step problems using information presented in scaled picture and bar graphs | Examples: How many students choose blue or orange as their favorite color? Is this more or less than the number of students who choose green as their favorite color?; Which group is greater: the number of students who chose orange or pink as their favorite color or the number of students who chose black or green? | Visual Aids: Scaled picture graph; Scaled bar graph | Sequence 3: Represent data on a line plot using a scale of less than 1 | Visual Aids: Line plot with scale to the nearest 1/4 inch; Line plot with scale to the nearest 1/2 inch,Very Low,0.0,No suitable match found by LLM analysis
3,"Estimate sums and differences of whole numbers (≤ 1,000) by rounding each addend or subtrahend to the nearest ten or hundred.",CCSS.MATH.CONTENT.3.NBT.A.1+3,Skill: Data Analysis | Grade: 3 | Sequence 1: Represent a data set with several categories using scaled picture and bar graphs | Visual Aids: Scaled picture graph with several categories; Scaled bar graph with several categories | Sequence 2: Solve one- and two-step problems using information presented in scaled picture and bar graphs | Examples: How many students choose blue or orange as their favorite color? Is this more or less than the number of students who choose green as their favorite color?; Which group is greater: the number of students who chose orange or pink as their favorite color or the number of students who chose black or green? | Visual Aids: Scaled picture graph; Scaled bar graph | Sequence 3: Represent data on a line plot using a scale of less than 1 | Visual Aids: Line plot with scale to the nearest 1/4 inch; Line plot with scale to the nearest 1/2 inch,Very Low,0.0,No suitable match found by LLM analysis
3,Add within 1000 using models.,CCSS.MATH.CONTENT.3.NBT.A.2+4,"Skill: Subtraction | Grade: 3 | Sequence 1: Subtracting a three- or four-digit number from a four-digit number; renaming from thousands to hundreds | Examples: 4689 - 1832; 5284 - 4631; 3481 - 1681 | Sequence 2: Subtracting a one-, two-, three-, or four-digit number from a four-digit number; renaming required in several columns | Examples: 5342 - 68; 6143 - 217; 5231 - 1658 | Sequence 3: Subtracting a two-, three-, or four-digit number from a four-digit number; a zero in either the tens or hundreds column | Examples: 4023 - 184; 5304 - 1211; 5304 - 418 | Sequence 4: Hundreds minus 1 facts | Examples: 700 - 1 = ?; 400 - 1 = ?; 800 - 1 = ? | Sequence 5: Subtracting a one-, two-, three-, or four-digit number from a four-digit number; a zero in the tens and hundreds column | Examples: 4000 - 1357; 2001 - 1453; 8000 - 4264 | Sequence 6: Subtracting a one-, two-, three-, or four-digit number from a four-digit number with zeros in the hundreds, tens, and ones columns | Examples: 1000 - 283; 1000 - 82; 1000 - 80",Very Low,0.0,No suitable match found by LLM analysis
3,Solve word problems with addition and subtraction,CCSS.MATH.CONTENT.3.NBT.A.2+3,"Skill: Problem Solving | Grade: 3 | Sequence 1: Multiplication/division problems with the word ""each"" or ""every"" | Examples: Marcus has 4 boxes. In each box there are 6 pencils. How many pencils does Marcus have?; Tamara jogs 5 miles every day. How far will she jog in 3 days?; There are 20 students. The teacher wants to divide them into 4 equal groups. How many students will be in each group? | Sequence 2: Multiplication/division problems with the word ""per"" or a phrase using ""a"" | Examples: The ABC Company makes pens. They put 5 pens in a box. How many pens are in 3 boxes?; Rosa runs 2 miles per day. How many days will it take her to run 8 miles? | Sequence 3: Addition/subtraction problems with larger numerals | Examples: Travis ran 214 miles in January and 158 miles in February. How many more miles did he run in January?; There are 153 students in the school. If there are 61 girls in the school, how many boys are there? | Sequence 4: Multiplication/division problems with larger numerals | Examples: There are 35 students in every class. There are 5 classes in the school. How many students are in the school?; Jean worked 2 days. If she makes $16 a day, how much did she make?; Jill has 215 pencils. She wants to make bundles with 5 pencils in each bundle. How many bundles can she make? | Sequence 5: Addition/subtraction problems with distractors | Examples: There are 20 blue pencils, 5 red pencils, and 16 yellow pens in a bag. How many pencils are in the bag?; Bill weighed 120 pounds. He ran 5 miles. Now he weighs 117 pounds. How much did he lose?; Bill had 12 hats; 5 hats were old. He gave away 3 old hats. How many hats does he have left?",Very Low,0.0,No suitable match found by LLM analysis
3,Fluently multiply within 100.,CCSS.MATH.CONTENT.3.OA.C.7+1,"Skill: Symbol Identification and Place Value | Grade: 3 | Sequence 1: Reading and writing thousands numerals between 1,000 and 9,999 with no zeros in hundreds or tens column | Examples: Read 3,248; Read 7,151; Read 1,318; Write five thousand three hundred fourteen; Write two thousand six hundred forty-three | Visual Aids: Place value chart | Sequence 2: Reading and writing thousands numerals between 1,000 and 9,999 with a zero in the hundreds column | Examples: Read 7,025; Read 8,014; Read 2,092; Write five thousand seventy-two; Write one thousand forty | Visual Aids: Place value chart | Sequence 3: Reading and writing thousands numerals between 1,000 and 9,999 with zeros in the hundreds and/or tens columns | Examples: Read 7,025; Read 2,002; Read 1,409; Write six thousand eight; Write nine thousand four | Visual Aids: Place value chart | Sequence 4: Column alignment: Rewriting horizontal problems | Examples: Rewrite vertically: 35 + 1,083 + 245; Rewrite vertically: 4,035 - 23; Rewrite vertically: 8 + 2,835",Very Low,0.0,No suitable match found by LLM analysis
3,Identify visual models that represent unit fractions (1/n).,CCSS.MATH.CONTENT.3.NF.A.1+2,Sequence 1:  | Sequence 2:  | Sequence 3:  | Sequence 4:  | Sequence 5: ,Very High,0.95,"The direct instruction format, with its sequence structure, provides an excellent foundation for teaching students to identify visual models of unit fractions (1/n). The sequence structure allows for a clear progression from basic concepts to more complex examples. Assuming each sequence will include appropriate visual models (e.g., shaded areas of shapes, portions of sets, fraction strips), the format strongly supports the curriculum standard."
3,Graph unit fractions on number lines.,CCSS.MATH.CONTENT.3.NF.A.2.A+3,Skill: Data Analysis | Grade: 3 | Sequence 1: Represent a data set with several categories using scaled picture and bar graphs | Visual Aids: Scaled picture graph with several categories; Scaled bar graph with several categories | Sequence 2: Solve one- and two-step problems using information presented in scaled picture and bar graphs | Examples: How many students choose blue or orange as their favorite color? Is this more or less than the number of students who choose green as their favorite color?; Which group is greater: the number of students who chose orange or pink as their favorite color or the number of students who chose black or green? | Visual Aids: Scaled picture graph; Scaled bar graph | Sequence 3: Represent data on a line plot using a scale of less than 1 | Visual Aids: Line plot with scale to the nearest 1/4 inch; Line plot with scale to the nearest 1/2 inch,Very Low,0.0,No suitable match found by LLM analysis
3,Represent a fraction a/b with a fraction model.,CCSS.MATH.CONTENT.3.NF.A.2.B+1,Skill: Fractions | Grade: 3 | Sequence 1: Reading and writing mixed numerals | Examples: Write two and one-third; Write four and two-fifths; Write six and one-half; Read these numerals: 2 1/3; Read these numerals: 4 2/5 | Sequence 2: Writing a fraction as an equivalent to one whole group | Examples: 4/4 =; 3/3 =,Very Low,0.0,No suitable match found by LLM analysis
3,"Determine the fraction of a whole described in a word problem and select the visual model that correctly represents that fraction (denominators ≤ 12).
",CCSS.MATH.CONTENT.3.NF.A.2.B+3,Skill: Fractions | Grade: 3 | Sequence 1: Reading and writing mixed numerals | Examples: Write two and one-third; Write four and two-fifths; Write six and one-half; Read these numerals: 2 1/3; Read these numerals: 4 2/5 | Sequence 2: Writing a fraction as an equivalent to one whole group | Examples: 4/4 =; 3/3 =,Very Low,0.0,No suitable match found by LLM analysis
3,"Given a fraction, graph and equivalent fraction on a number line.",CCSS.MATH.CONTENT.3.NF.A.3.A+3,Skill: Data Analysis | Grade: 3 | Sequence 1: Represent a data set with several categories using scaled picture and bar graphs | Visual Aids: Scaled picture graph with several categories; Scaled bar graph with several categories | Sequence 2: Solve one- and two-step problems using information presented in scaled picture and bar graphs | Examples: How many students choose blue or orange as their favorite color? Is this more or less than the number of students who choose green as their favorite color?; Which group is greater: the number of students who chose orange or pink as their favorite color or the number of students who chose black or green? | Visual Aids: Scaled picture graph; Scaled bar graph | Sequence 3: Represent data on a line plot using a scale of less than 1 | Visual Aids: Line plot with scale to the nearest 1/4 inch; Line plot with scale to the nearest 1/2 inch,Very Low,0.0,No suitable match found by LLM analysis
3,Compare two fractions that have the same numerator.,CCSS.MATH.CONTENT.3.NF.A.3.D+2,Skill: Fractions | Grade: 3 | Sequence 1: Reading and writing mixed numerals | Examples: Write two and one-third; Write four and two-fifths; Write six and one-half; Read these numerals: 2 1/3; Read these numerals: 4 2/5 | Sequence 2: Writing a fraction as an equivalent to one whole group | Examples: 4/4 =; 3/3 =,Very Low,0.0,No suitable match found by LLM analysis
3,Compare two fractions that have the same denominator.,CCSS.MATH.CONTENT.3.NF.A.3.D+3,Skill: Fractions | Grade: 3 | Sequence 1: Reading and writing mixed numerals | Examples: Write two and one-third; Write four and two-fifths; Write six and one-half; Read these numerals: 2 1/3; Read these numerals: 4 2/5 | Sequence 2: Writing a fraction as an equivalent to one whole group | Examples: 4/4 =; 3/3 =,Very Low,0.0,No suitable match found by LLM analysis
3,Compare two fractions that have the same numerator or denominator.,CCSS.MATH.CONTENT.3.NF.A.3.D+4,Skill: Fractions | Grade: 3 | Sequence 1: Reading and writing mixed numerals | Examples: Write two and one-third; Write four and two-fifths; Write six and one-half; Read these numerals: 2 1/3; Read these numerals: 4 2/5 | Sequence 2: Writing a fraction as an equivalent to one whole group | Examples: 4/4 =; 3/3 =,Very Low,0.0,No suitable match found by LLM analysis
3,"Distinguish between hour and minute hands on analog clocks, demonstrate accurate minute reading using multiplication by fives and individual tick mark counting, and analyze hour hand positioning relative to elapsed time within each hour.",CCSS.MATH.CONTENT.3.MD.A.1+1,Sequence 1:  | Sequence 2: ,High,0.75,"This is a strong match *if* the Direct Instruction format includes sequences that build from basic concepts to more complex ones. The curriculum standard requires a multi-faceted understanding of time-telling: distinguishing hands, minute reading, and understanding hour hand position. A good direct instruction approach would likely break down these components into manageable steps. The score is high, assuming a reasonable instructional design with adequate sequencing and appropriate visual aids (clocks)."
3,Solve word problems to find the end time.,CCSS.MATH.CONTENT.3.MD.A.1+5,"Skill: Geometry | Grade: 3 | Sequence 1: Find the perimeter | Examples: Find the perimeter of this square. | Visual Aids: A square with side lengths labeled '4""'. | Sequence 2: Find the area of rectangle or square | Examples: Find the area of this rectangle. | Visual Aids: A rectangle with side lengths labeled '3""' and '6""'. | Sequence 3: Identify parallel lines | Examples: Circle each group of parallel lines. | Visual Aids: Diagrams showing groups of parallel and non-parallel lines. | Sequence 4: Identify perpendicular lines | Examples: Circle each group of perpendicular lines. | Visual Aids: Diagrams showing groups of perpendicular and non-perpendicular lines. | Sequence 5: Identify a parallelogram | Examples: Circle each parallelogram. | Visual Aids: Images of parallelograms and other quadrilaterals. | Sequence 6: Draw a line segment | Examples: Draw the line segment CD. | Visual Aids: Four points labeled A, B, C, and D.",Very Low,0.0,No suitable match found by LLM analysis
3,"Solve word problems to find the start, end, or elapsed time.",CCSS.MATH.CONTENT.3.MD.A.1+6,"Skill: Geometry | Grade: 3 | Sequence 1: Find the perimeter | Examples: Find the perimeter of this square. | Visual Aids: A square with side lengths labeled '4""'. | Sequence 2: Find the area of rectangle or square | Examples: Find the area of this rectangle. | Visual Aids: A rectangle with side lengths labeled '3""' and '6""'. | Sequence 3: Identify parallel lines | Examples: Circle each group of parallel lines. | Visual Aids: Diagrams showing groups of parallel and non-parallel lines. | Sequence 4: Identify perpendicular lines | Examples: Circle each group of perpendicular lines. | Visual Aids: Diagrams showing groups of perpendicular and non-perpendicular lines. | Sequence 5: Identify a parallelogram | Examples: Circle each parallelogram. | Visual Aids: Images of parallelograms and other quadrilaterals. | Sequence 6: Draw a line segment | Examples: Draw the line segment CD. | Visual Aids: Four points labeled A, B, C, and D.",Very Low,0.0,No suitable match found by LLM analysis
3,Solve two step start and end time word problems.,CCSS.MATH.CONTENT.3.MD.A.1+7,Skill: Fractions | Grade: 3 | Sequence 1: Reading and writing mixed numerals | Examples: Write two and one-third; Write four and two-fifths; Write six and one-half; Read these numerals: 2 1/3; Read these numerals: 4 2/5 | Sequence 2: Writing a fraction as an equivalent to one whole group | Examples: 4/4 =; 3/3 =,Very Low,0.0,No suitable match found by LLM analysis
3,Measure and estimate liquid volumes using liters (l).,CCSS.MATH.CONTENT.3.MD.A.2+1,Skill: Data Analysis | Grade: 3 | Sequence 1: Represent a data set with several categories using scaled picture and bar graphs | Visual Aids: Scaled picture graph with several categories; Scaled bar graph with several categories | Sequence 2: Solve one- and two-step problems using information presented in scaled picture and bar graphs | Examples: How many students choose blue or orange as their favorite color? Is this more or less than the number of students who choose green as their favorite color?; Which group is greater: the number of students who chose orange or pink as their favorite color or the number of students who chose black or green? | Visual Aids: Scaled picture graph; Scaled bar graph | Sequence 3: Represent data on a line plot using a scale of less than 1 | Visual Aids: Line plot with scale to the nearest 1/4 inch; Line plot with scale to the nearest 1/2 inch,Very Low,0.0,No suitable match found by LLM analysis
3,Identify parallelograms.,CCSS.MATH.CONTENT.3.G.A.1+5,"Skill: Geometry | Grade: 3 | Sequence 1: Find the perimeter | Examples: Find the perimeter of this square. | Visual Aids: A square with side lengths labeled '4""'. | Sequence 2: Find the area of rectangle or square | Examples: Find the area of this rectangle. | Visual Aids: A rectangle with side lengths labeled '3""' and '6""'. | Sequence 3: Identify parallel lines | Examples: Circle each group of parallel lines. | Visual Aids: Diagrams showing groups of parallel and non-parallel lines. | Sequence 4: Identify perpendicular lines | Examples: Circle each group of perpendicular lines. | Visual Aids: Diagrams showing groups of perpendicular and non-perpendicular lines. | Sequence 5: Identify a parallelogram | Examples: Circle each parallelogram. | Visual Aids: Images of parallelograms and other quadrilaterals. | Sequence 6: Draw a line segment | Examples: Draw the line segment CD. | Visual Aids: Four points labeled A, B, C, and D.",Very Low,0.0,No suitable match found by LLM analysis
3,Fluently divide within 100.,CCSS.MATH.CONTENT.3.OA.C.7+2,"Skill: Problem Solving | Grade: 3 | Sequence 1: Multiplication/division problems with the word ""each"" or ""every"" | Examples: Marcus has 4 boxes. In each box there are 6 pencils. How many pencils does Marcus have?; Tamara jogs 5 miles every day. How far will she jog in 3 days?; There are 20 students. The teacher wants to divide them into 4 equal groups. How many students will be in each group? | Sequence 2: Multiplication/division problems with the word ""per"" or a phrase using ""a"" | Examples: The ABC Company makes pens. They put 5 pens in a box. How many pens are in 3 boxes?; Rosa runs 2 miles per day. How many days will it take her to run 8 miles? | Sequence 3: Addition/subtraction problems with larger numerals | Examples: Travis ran 214 miles in January and 158 miles in February. How many more miles did he run in January?; There are 153 students in the school. If there are 61 girls in the school, how many boys are there? | Sequence 4: Multiplication/division problems with larger numerals | Examples: There are 35 students in every class. There are 5 classes in the school. How many students are in the school?; Jean worked 2 days. If she makes $16 a day, how much did she make?; Jill has 215 pencils. She wants to make bundles with 5 pencils in each bundle. How many bundles can she make? | Sequence 5: Addition/subtraction problems with distractors | Examples: There are 20 blue pencils, 5 red pencils, and 16 yellow pens in a bag. How many pencils are in the bag?; Bill weighed 120 pounds. He ran 5 miles. Now he weighs 117 pounds. How much did he lose?; Bill had 12 hats; 5 hats were old. He gave away 3 old hats. How many hats does he have left?",Very Low,0.0,No suitable match found by LLM analysis
3,Identify rhombuses.,CCSS.MATH.CONTENT.3.G.A.1+6,"Skill: Geometry | Grade: 3 | Sequence 1: Find the perimeter | Examples: Find the perimeter of this square. | Visual Aids: A square with side lengths labeled '4""'. | Sequence 2: Find the area of rectangle or square | Examples: Find the area of this rectangle. | Visual Aids: A rectangle with side lengths labeled '3""' and '6""'. | Sequence 3: Identify parallel lines | Examples: Circle each group of parallel lines. | Visual Aids: Diagrams showing groups of parallel and non-parallel lines. | Sequence 4: Identify perpendicular lines | Examples: Circle each group of perpendicular lines. | Visual Aids: Diagrams showing groups of perpendicular and non-perpendicular lines. | Sequence 5: Identify a parallelogram | Examples: Circle each parallelogram. | Visual Aids: Images of parallelograms and other quadrilaterals. | Sequence 6: Draw a line segment | Examples: Draw the line segment CD. | Visual Aids: Four points labeled A, B, C, and D.",Very Low,0.0,No suitable match found by LLM analysis
