grade,substandard_description,substandard_id,direct_instructions,match_confidence,similarity_score,llm_explanation
7,Compare pricing options to determine the better deal or value,CCSS.MATH.CONTENT.7.RP.A.3+9,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.287,
7,"Solve complex pricing problems involving multiple discounts, markups, taxes, or combinations",CCSS.MATH.CONTENT.7.RP.A.3+10,"Skill: Geometry | Problem Type: Use equation π (pi) ∙ D = C to find π(pi), D, or C | Sequence: 5",Very Low,0.062,
7,Solve problems using simple interest.,CCSS.MATH.CONTENT.7.RP.A.3+11,Skill: Pre-Algebra | Problem Type: Ratio tables problems using percentages that compare | Sequence: 7,Very Low,0.074,
7,Solve mathematical problems related to the volume of three-dimensional objects.,CCSS.MATH.CONTENT.7.G.B.6+4,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.286,
7,Use probability and relative frequency to describe the likelihood of an event.,CCSS.MATH.CONTENT.7.SP.C.5+1,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.328,
7,Differentiate between experimental and theoretical probability.,CCSS.MATH.CONTENT.7.SP.C.5+2,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Very Low,0.169,
7,Find theoretical probability.,CCSS.MATH.CONTENT.7.SP.C.5+3,"Skill: Geometry | Problem Type: Use equation π (pi) ∙ D = C to find π(pi), D, or C | Sequence: 5",Very Low,0.180,
7,Make predictions using theoretical proability.,CCSS.MATH.CONTENT.7.SP.C.6+3,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.065,
7,Solve real-world problems related to the volume of three-dimensional objects.,CCSS.MATH.CONTENT.7.G.B.6+5,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.274,
7,This overlaps with 7.SP.6,CCSS.MATH.CONTENT.7.SP.C.7.B+1,Skill: Pre-Algebra | Problem Type: Multiply by a positive or negative integer | Sequence: 2,Very Low,0.186,
7,Find experiemental probability.,CCSS.MATH.CONTENT.7.SP.C.6+1,"Skill: Geometry | Problem Type: Use equation π (pi) ∙ D = C to find π(pi), D, or C | Sequence: 5",Very Low,0.180,
7,Make predictions using experimental proability.,CCSS.MATH.CONTENT.7.SP.C.6+2,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.065,
7,Model real-life random selections by assigning equal probability to each outcome and calculate the probability of specified individuals or groups being chosen.,CCSS.MATH.CONTENT.7.SP.C.7.A+1,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.227,
7,Find the probability of something NOT happening.,CCSS.MATH.CONTENT.7.SP.C.7.A+2,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Very Low,0.000,"The curriculum standard focuses on probability (specifically complementary events), while the direct instruction format is entirely dedicated to finding the area of a circle using a geometric formula. There is no conceptual, thematic, or skill overlap."
7,Find the total number of possible outcomes for two or more events.,CCSS.MATH.CONTENT.7.SP.C.8.B+1,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.365,
7,Create lists that represent the sample space of compound events.,CCSS.MATH.CONTENT.7.SP.C.8.B+2,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.252,
7,"Create tables to systematically organize and represent sample spaces for compound events, clearly displaying all possible outcomes.",CCSS.MATH.CONTENT.7.SP.C.8.B+3,Skill: Pre-Algebra | Problem Type: Add and subtract positive and negative integers | Sequence: 3,Very Low,0.101,
7,"Use tree diagrams to visually represent the sample space of compound events, breaking down the event into component outcomes.",CCSS.MATH.CONTENT.7.SP.C.8.B+4,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.372,
7,Find the probability of independent compound events.,CCSS.MATH.CONTENT.7.SP.C.8.A+1,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Very Low,0.000,"The curriculum standard is about probability of compound events, while the direct instruction format is about finding the area of a circle using a specific formula. These are entirely different mathematical topics with no conceptual or skill overlap."
7,Find the probability of dependent compound events.,CCSS.MATH.CONTENT.7.SP.C.8.A+2,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Very Low,0.000,"The direct instruction format addresses finding the area of a circle, which is a geometry/measurement concept, while the curriculum standard focuses on finding the probability of dependent compound events, a statistics and probability concept. These are entirely distinct mathematical topics with no overlap in content or skills."
7,"Design and use a simulation to generate frequencies for compound events. For example, use random digits as a simulation tool to approximate the answer to the question: If 40% of donors have type A blood, what is the probability that it will take at least 4 donors to find one with type A blood?  ",CCSS.MATH.CONTENT.7.SP.C.8.C+1,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.374,
7,Determine the population and sample in a study or experiment.,CCSS.MATH.CONTENT.7.SP.A.1+1,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.252,
7,"Classify samples as representative, random, or biased.",CCSS.MATH.CONTENT.7.SP.A.1+2,Skill: Pre-Algebra | Problem Type: Ratio tables problems using fractions that compare | Sequence: 5,Very Low,0.083,
7,Utilize data from a random sample to make informed inferences about a population characteristic that is not directly known.,CCSS.MATH.CONTENT.7.SP.A.2+1,Skill: Geometry | Problem Type: Identify corresponding angles and that they are equal | Sequence: 2,Very Low,0.122,
7,"Informally assess the degree of visual overlap of two numerical data distributions with similar variabilities, measuring the difference between the centers by expressing it as a multiple of a measure of variability.",CCSS.MATH.CONTENT.7.SP.B.3+1,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.378,
7,Use measures of center and measures of variability for numerical data from random samples to draw informal comparative inferences about two populations.,CCSS.MATH.CONTENT.7.SP.B.4+1,Skill: Geometry | Problem Type: Use knowledge of facts about angles to compute values of angles in a complex diagram | Sequence: 4,Low,0.262,
7,Identify the parts of a circle.,CCSS.MATH.CONTENT.7.G.B.4+1,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Very Low,0.100,"The curriculum standard focuses on the foundational skill of *identifying* various *parts* of a circle (e.g., radius, diameter, circumference, arc, chord, center). The direct instruction format, however, centers on the *calculation* of a circle's *area* using a specific formula, assuming prior knowledge of radius and diameter rather than teaching or assessing their identification. While radius and diameter are parts of a circle, the instructional objective is application of a formula, not the comprehensive identification of parts as specified by the standard."
7,Apply the formulas for the area of a circle to solve a variety of mathematical problems.,CCSS.MATH.CONTENT.7.G.B.4+2,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,High,0.750,"The direct instruction format directly teaches the application of the circle area formula when radius or diameter is given, which is a fundamental aspect of the curriculum standard. However, the standard's emphasis on ""a variety of mathematical problems"" suggests a broader scope that might include inverse problems (e.g., finding radius from area), multi-step problems, or word problems where the radius/diameter isn't immediately obvious, which are not explicitly addressed by this specific instruction format."
7,Apply the formulas for the circumference of a circle to solve a variety of mathematical problems.,CCSS.MATH.CONTENT.7.G.B.4+3,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Very Low,0.000,"The curriculum standard focuses on the circumference of a circle, while the direct instruction format explicitly covers the area of a circle, using a different formula. These are distinct mathematical concepts."
7,Solving real world problems with area and circumference.,CCSS.MATH.CONTENT.7.G.B.4+4,Skill: Geometry | Problem Type: Find the surface area of a triangular pyramid | Sequence: 9,Low,0.204,
7,"Identify complementary, supplementary, vertical and adjacent angles.",CCSS.MATH.CONTENT.7.G.B.5+1,Skill: Geometry | Problem Type: Identify corresponding angles and that they are equal | Sequence: 2,Low,0.301,
7,"Find the measures of complementary, supplementary, vertical and adjacent angles.",CCSS.MATH.CONTENT.7.G.B.5+2,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.341,
7,Recognize and explain why certain combinations of three measures do not form a triangle.,CCSS.MATH.CONTENT.7.G.A.2+3,Skill: Geometry | Problem Type: Use knowledge of facts about angles to compute values of angles in a complex diagram | Sequence: 4,Very Low,0.126,
7,"Describe cross-sections of prisms, pyramids, cylinders and cones.",CCSS.MATH.CONTENT.7.G.A.3+1,Skill: Geometry | Problem Type: Find the surface area of boxes (rectangular prisms) | Sequence: 7,Low,0.225,
7,Find the area of compound figures.,CCSS.MATH.CONTENT.7.G.B.6+1,Skill: Geometry | Problem Type: Use the equation A = π∙r∙r to find area of a circle given the radius or the diameter | Sequence: 6,Low,0.200,"The direct instruction focuses solely on finding the area of a single circle. While finding the area of a circle is a prerequisite skill for some compound figures, the curriculum standard explicitly requires finding the area of *compound figures*. This instruction does not address the primary challenge of the standard, which involves decomposing complex shapes, calculating areas of multiple components, and combining or subtracting those areas. It covers only a very specific sub-skill, not the overarching concept of compound figures."
7,Solve mathematical problems involving the surface area of three-dimensional objects.,CCSS.MATH.CONTENT.7.G.B.6+2,Skill: Geometry | Problem Type: Find the surface area of rectangular pyramid | Sequence: 8,Low,0.385,
7,Solve real-world problems involving the surface area of three-dimensional objects.,CCSS.MATH.CONTENT.7.G.B.6+3,Skill: Geometry | Problem Type: Find the surface area of rectangular pyramid | Sequence: 8,Low,0.368,
7,null,CCSS.MATH.CONTENT.7.NS.A.2.A+1,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.000,
7,null,CCSS.MATH.CONTENT.7.NS.A.2.B+1,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.000,
7,null,CCSS.MATH.CONTENT.7.NS.A.1.C+1,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.000,
7,null,CCSS.MATH.CONTENT.7.NS.A.1.B+1,Skill: Geometry | Problem Type: Find value of unknown component angles using facts about angles | Sequence: 1,Very Low,0.000,
