grade,substandard_description,substandard_id,direct_instructions,match_confidence,similarity_score,llm_explanation
5,Multiply two fractions.,CCSS.MATH.CONTENT.5.NF.B.4.A+5,Skill: Fractions | Problem Type: Adding and subtracting three fractions with different denominators | Sequence: 8,Low,0.234,
5,Multiply mixed numbers by other mixed numbers.,CCSS.MATH.CONTENT.5.NF.B.4.A+7,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Very Low,0.100,"The instruction focuses on converting mixed numbers to decimals, which is a different operation from multiplying mixed numbers, and not a required or even primary step in the standard's core task."
5,"Solve real world problems involving multiplication of a fraction and a mixed number, or two mixed numbers.",CCSS.MATH.CONTENT.5.NF.B.6+2,Skill: Decimals | Problem Type: Converting mixed numbers to mixed decimals | Sequence: 18,Very Low,0.100,"The direct instruction format focuses on converting mixed numbers to mixed decimals, which is a number representation conversion. The curriculum standard, however, explicitly targets solving real-world problems involving *multiplication* of fractions and mixed numbers. While mixed numbers are present in both, the core operation (conversion vs. multiplication) and the ultimate goal (skill practice vs. real-world problem-solving) are fundamentally different, indicating very low alignment."
5,Multiply fractional side lengths to find areas of rectangles.,CCSS.MATH.CONTENT.5.NF.B.4.B+2,Skill: Fractions | Problem Type: Finding the lowest common multiple of three numbers | Sequence: 7,Very Low,0.186,
5,Divide Unit Fractions by Whole Numbers Using Models,CCSS.MATH.CONTENT.5.NF.B.7.A+3,Skill: Fractions | Problem Type: Dividing fractions by whole numerals | Sequence: 11,Low,0.276,
5,Compute quotients when dividing a unit fraction by a whole number.,CCSS.MATH.CONTENT.5.NF.B.7.A+1,Skill: Fractions | Problem Type: Dividing fractions by whole numerals | Sequence: 11,Low,0.269,
5,Divide whole numbers by unit fractions using models.,CCSS.MATH.CONTENT.5.NF.B.7.A+2,Skill: Fractions | Problem Type: Dividing fractions by whole numerals | Sequence: 11,Low,0.276,
5,Compute quotients when dividing a whole number by a unit fraction.,CCSS.MATH.CONTENT.5.NF.B.7.B+1,Skill: Fractions | Problem Type: Dividing fractions by whole numerals | Sequence: 11,Low,0.269,
5,Solve problems involving multiplying and dividing unit fractions and whole numbers.,CCSS.MATH.CONTENT.5.NF.B.7.B+2,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Low,0.276,
5,Solve multi-step problems involving converting among different-sized standard measurement units within a given measurement system.,CCSS.MATH.CONTENT.5.MD.A.1+7,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Very Low,0.183,
5,Make a line plot to display a data set of measurements in fractions of a unit.  ,CCSS.MATH.CONTENT.5.MD.B.2+1,"Skill: Percent, Ratio, Probability | Problem Type: Determining a percent of a given number | Sequence: 2",Low,0.250,
5,Use operations on fractions for this grade to solve problems involving information presented in line plots.,CCSS.MATH.CONTENT.5.MD.B.2+2,Skill: Data Analysis | Problem Type: Solve problems involving fractions using information from line plots | Sequence: 1,Low,0.328,
5,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units.",CCSS.MATH.CONTENT.5.MD.C.4+1,Skill: Fractions | Problem Type: Adding and subtracting three fractions with different denominators | Sequence: 8,Very Low,0.085,
5,Apply the formula V = b × h for rectangular prisms to find volumes of right rectangular prisms with whole-number edge lengths in mathematical problems.,CCSS.MATH.CONTENT.5.MD.C.5.B+2,Skill: Geometry | Problem Type: Find the volume of a box (rectangular prism) using the formula: Volume = Area of base × height | Sequence: 1,Low,0.213,
5,Apply the formulas V = b × h or V = l × w × h for rectangular prisms to find volumes of right rectangular prisms with whole-number edge lengths in the context of solving real-world problems.,CCSS.MATH.CONTENT.5.MD.C.5.B+4,Skill: Fractions | Problem Type: Determining all factors of a given number | Sequence: 3,Low,0.257,
5,Solve mathematicall problems for composite volume.,CCSS.MATH.CONTENT.5.MD.C.5.C+1,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Low,0.377,
5,Solve real-world problems for composite volume.,CCSS.MATH.CONTENT.5.MD.C.5.C+2,Skill: Pre-Algebra | Problem Type: Solve problems that involve multiplication with addition and/or subtraction (preskill for integers) | Sequence: 4,Low,0.349,
5,"Classify triangles as equilateral, isosceles, scalene.",CCSS.MATH.CONTENT.5.G.B.4+1,Skill: Decimals | Problem Type: Converting proper fraction to decimal; no rounding off required | Sequence: 11,Very Low,0.179,
5,Select all names for a quadrilateral.,CCSS.MATH.CONTENT.5.G.B.3+2,Skill: Fractions | Problem Type: Determining all factors of a given number | Sequence: 3,Low,0.328,
5,Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category. ,CCSS.MATH.CONTENT.5.G.B.3+1,Skill: Fractions | Problem Type: Determining all factors of a given number | Sequence: 3,Low,0.207,
5,Convert length across customary units.,CCSS.MATH.CONTENT.5.MD.A.1+1,Skill: Measurement | Problem Type: Metric equivalencies—less common units | Sequence: 1,Very Low,0.069,
5,Convert weight across customary units.,CCSS.MATH.CONTENT.5.MD.A.1+2,Skill: Measurement | Problem Type: Metric equivalencies—less common units | Sequence: 1,Very Low,0.069,
5,Convert volume across customary units.,CCSS.MATH.CONTENT.5.MD.A.1+3,Skill: Geometry | Problem Type: Find the volume of a box (rectangular prism) using the formula: Volume = Area of base × height | Sequence: 1,Very Low,0.195,
5,Convert length across metric units.,CCSS.MATH.CONTENT.5.MD.A.1+4,Skill: Measurement | Problem Type: Metric equivalencies—less common units | Sequence: 1,Very Low,0.137,
5,Convert mass across metric units.,CCSS.MATH.CONTENT.5.MD.A.1+5,Skill: Measurement | Problem Type: Metric equivalencies—less common units | Sequence: 1,Very Low,0.137,
5,Convert volume across metric units.,CCSS.MATH.CONTENT.5.MD.A.1+6,Skill: Geometry | Problem Type: Find the volume of a box (rectangular prism) using the formula: Volume = Area of base × height | Sequence: 1,Very Low,0.195,
