skill,format_number,title,grade,flattened_content
Division,10.2,INTRODUCING DIVISION WITH REMAINDERS,3,"Format 10.2 | Title: INTRODUCING DIVISION WITH REMAINDERS | Grade: 3 | Parts: Part: Part A: Introducing Remainders | Steps: Step 1 | Teacher: Display the following problem: 5)13. Highlight 5)13. What does the problem say? | Student: 5 goes into 13. || Step 2 | Teacher: First let's solve the problem by making lines. The problem asks how many groups of 5 in 13, so I'll display 13 lines. The problem asks how many groups of 5 in 13, so I'll put a circle around each group of 5. (Count out each group of 5 aloud; after circling each group, say,) Here's a group of 5. (After counting the last 3 lines, say,) We only have 3 left so we can't make a group of 5. || Step 3 | Teacher: Now let's see how many groups of 5 there are; count the groups as I highlight them. | Student: 1, 2 || Step 4 | Teacher: How many groups of 5 in 13? Yes, there are two groups. | Student: 2 | Notes: Write 2 in the quotient position. || Step 5 | Teacher: Are there lines left over? We call those lines the remainder. How many lines are left over? | Student: Yes. 3 || Step 6 | Teacher: We say that 5 goes into 13 two times with a remainder of 3. How many times does 5 go into 13? | Student: Two times with a remainder of 3. | Notes: Repeat steps 1-6 with the problems 2)9 and 9)21. || Part: Part B: Structured Worksheet | Steps: Step 1 | Teacher: Provide a worksheet with problems and corresponding line diagrams: a. 5)23, b. 2)7, c. 9)25, d. 5)14. || Step 2 | Teacher: Read problem a. | Student: 5 goes into 23. || Step 3 | Teacher: The problem asks how many groups of 5 we can make from 23. Next to the problem are 23 lines. A circle has been drawn around each group of 5 lines. How many groups of 5 are there? Write 4 on the line above the 3. | Student: 4 || Step 4 | Teacher: We want to figure out how many lines we used up, so we multiply 4 times 5. How do we figure how many lines we used up? | Student: Multiply 4 × 5. || Step 5 | Teacher: What is 4 × 5? | Student: 20 || Step 6 | Teacher: Write 20 under the 23. We started with 23 and used up 20, so write a minus sign in front of the 20. Read the subtraction problem we just wrote. Subtract and write the remainder. What is 23 minus 20? | Student: 23 - 20. 3 || Step 7 | Teacher: We're all finished; 5 goes into 23 four times with a remainder of 3. How many times does 5 go into 23? | Student: Four times with a remainder of 3. | Notes: Repeat steps 1-6 with problems b, c, and d. || Part: Part C: Less Structured Worksheet | Steps: Step 1 | Teacher: Provide a worksheet with several problems similar to Part B. Use the following prompts as students work through the problems. || Step 2 | Teacher: Read problem ___. ___ goes into ___. How many times does ___ go into ___? Write ___ above the ___ in ___. How do we figure how many lines we used? Multiply ___ by ___. What is ___ times ___? | Student: ___ times. || Step 3 | Teacher: Write ___ under the ___. Put in the minus sign. || Step 4 | Teacher: Subtract. What is the remainder? | Notes: Remind students to rename when applicable. || Step 5 | Teacher: How many times does ___ go into ___? | Student: ___ times with a remainder of ___"
Division,10.3,INTRODUCING REMAINDER FACTS,3,"Format 10.3 | Title: INTRODUCING REMAINDER FACTS | Grade: 3 | Parts: Part: Part A: Structured Board Presentation | Steps: Step 1 | Teacher: Display these numerals: 1 2 3 4 ⑤ 6 7 8 9 ⑩ 11 12 13 14 ⑮ 16 17 18 19 ⑳ 21 22 23 24 ㉕. Listen: 5 goes into the circled numerals without a remainder. Say the numbers that 5 goes into without a remainder. | Student: 0, 5, 10, 15, 20, 25 || Step 2 | Teacher: Five goes into the other numbers with a remainder. (Highlight 1, 2, 3, 4.) These are numbers 5 goes into zero times with a remainder. || Step 3 | Teacher: My turn: How many times does 5 go into 2? Five goes into 2 zero times with a remainder. How many times does 5 go into 2? How many times does 5 go into 4? | Student: Zero times with a remainder. Zero times with a remainder. || Step 4 | Teacher: (Highlight 5.) Five goes into 5 one time. (Highlight 6, 7, 8, 9.) These are numbers 5 goes into one time with a remainder. How many times does 5 go into 8? How many times does 5 go into 6? | Student: One time with a remainder. One time with a remainder. || Step 5 | Teacher: Repeat step 4 using 5 goes into 15 and then 5 goes into 19 and 5 goes into 17. || Step 6 | Teacher: Repeat step 4 using 5 goes into 20, 5 goes into 24, 5 goes into 21. Tell the students that 5 goes into these numbers two times. || Part: Part B: Less Structured Board Presentation | Steps: Step 1 | Teacher: Display these numerals: 1 2 3 4 ⑤ 6 7 8 9 ⑩ 11 12 13 14 ⑮ 16 17 18 19 ⑳ 21 22 23 24 ㉕. Say the numbers that 5 goes into without a remainder. | Student: 5, 10, 15, 20, 25 || Step 2 | Teacher: (Highlight 13.) Think. 5 goes into 13 how many times? | Student: Two times with a remainder. | Notes: To correct: (Highlight 10.) Five goes into 10 two times. (Highlight 11, 12, 13, 14.) These are the numbers 5 goes into two times with a remainder. Five goes into 13, two times with a remainder. (Repeat step 2.) || Step 3 | Teacher: Repeat step 2 with 20, 24, 0, 3, 9, 16. || Part: Part C: Structured Worksheet | Steps: Step 1 | Teacher: Provide a worksheet with several problems similar to those below: a. 5)22 b. 5)16 c. 5)10 d. 5)7. Use the following prompts as students work through the problems. || Step 2 | Teacher: Read problem ___. ___ goes into ___. || Step 3 | Teacher: How many times does ___ go into ___? | Notes: To correct if a student says a number that is too low, as in 3 for 5)22, say: We can make another group of five: 5 × 4 = 20. To correct if a student says a number too high, as in 5 for 5)22, say: 5 × 5 = 25. That's too big. || Step 4 | Teacher: Write ___ above the ___ in ___. What do you multiply? Multiply and subtract. What is the remainder? How many times does ___ go into ___? | Student: ___ times. ___ times with a remainder of ___ | Notes: Repeat steps 2-4 with several more problems and then have students work the rest on their own."
Division,10.4,REMEDIATION FOR DIVISION WITH REMAINDERS—QUOTIENT TOO SMALL,3,"Format 10.4 | Title: REMEDIATION FOR DIVISION WITH REMAINDERS—QUOTIENT TOO SMALL | Grade: 3 | Parts: Part: Part A: Recognizing Quotients That Are Too Small | Steps: Step 1 | Teacher: Display this problem: 5)28. This problem says 5 goes into 28. We're figuring 5 into a number, so the remainder must be smaller than 5. || Step 2 | Teacher: What does the problem say? | Student: 5 goes into 28. || Step 3 | Teacher: So what do you know about the remainder? | Student: It must be smaller than 5. || Step 4 | Teacher: Repeat steps 1-3 with 7)23, 2)13, 6)14, 5)27, 3)24. || Part: Part B: Writing the Correct Answer | Steps: Step 1 | Teacher: Provide a worksheet with the following pre-filled problems: a. 4/5)28, b. 4/7)31, c. 2/9)24, d. 3/9)43, e. 8/5)42, f. 5/2)13, g. 6/2)15, h. 5/5)28. || Step 2 | Teacher: Problem a says 5 goes into 28 four times. We figure the remainder by multiplying 5 × 4 and then subtracting. Do that on your paper. || Step 3 | Teacher: What's the remainder? | Student: 8 || Step 4 | Teacher: Here's a rule: If the remainder is too big, we make the answer bigger. What do we do if the remainder is too big? | Student: Make the answer bigger. || Step 5 | Teacher: Is the remainder too big? So what must we do? The remainder is more than 5, so 5 can go into 28 another time. Cross out the 4 and write 5. Now erase 20; multiply and subtract to figure the new remainder. What's the new remainder? | Student: Yes. Make the answer bigger. 3 | Notes: If the answer to 'Is the remainder too big?' is no, tell students, 'So the answer is correct. Let’s go to the next problem.' || Step 6 | Teacher: Is the remainder too big? So the answer is correct. Read the problem. | Student: No. 5 goes into 28 five times with a remainder of 3. || Step 7 | Teacher: Repeat steps 2-6 with additional problems, and then have students work remaining problems on their own."
Division,10.5,REMEDIATION FOR DIVISION WITH REMAINDERS—QUOTIENT TOO LARGE,3,"Format 10.5 | Title: REMEDIATION FOR DIVISION WITH REMAINDERS—QUOTIENT TOO LARGE | Grade: 3 | Parts: Part: Part A: Recognizing Quotients That Are Too Large | Steps: Step 1 | Teacher: Display this problem, worked out: 6 on top of 5)28, with 30 below 28. What does this problem say? | Student: 5 goes into 28 six times. || Step 2 | Teacher: The problem is worked for you, but there is something wrong. Can you subtract 30 from 28? | Student: No || Step 3 | Teacher: Here's a rule: If you can't subtract, make the answer smaller. What do you do if you can't subtract? | Student: Make the answer smaller. || Step 4 | Teacher: We make the answer 1 smaller. What is 1 smaller than 6? What is 5 times 5? | Student: 5. 25 | Notes: Update the displayed problem to show 5 as the quotient. || Step 5 | Teacher: Update the problem to show 25 below 28. Can you subtract 25 from 28? What is 28 - 25? Read the problem. | Student: Yes. 3. 5 goes into 28 five times with a remainder of 3. || Step 6 | Teacher: Repeat steps 1-5 with several examples. || Part: Part B: Writing the Correct Answer | Steps: Step 1 | Teacher: Provide a worksheet with the following pre-filled problems: a. 6/5)28, b. 4/7)31, c. 2/9)24, d. 5/9)43, e. 8/5)42, f. 7/2)13. || Step 2 | Teacher: Look at the problems on your worksheet. Some of the answers are too big. You'll have to fix them. || Step 3 | Teacher: Look at problem a. What is 6 × 5? | Student: 30 || Step 4 | Teacher: Can you subtract 30 from 28? What must you do? | Student: No. Make the answer 1 smaller. | Notes: This step is performed only if the student cannot subtract. || Step 5 | Teacher: Cross out the 6. What do you write? Work the problem. | Student: 5 | Notes: Repeat steps 1-5 with additional problems, and then have students work remaining problems on their own."
Division,10.6,DIVISION WITH TWO-DIGIT QUOTIENTS,4,"Format 10.6 | Title: DIVISION WITH TWO-DIGIT QUOTIENTS | Grade: 4 | Parts: Part: Part A: Determining Where to Begin | Steps: Step 1 | Teacher: When a division problem has lots of digits, we work the problem a part at a time. We always begin a problem by underlining the first part we work. Sometimes we underline just the first digit. Sometimes we underline the first two digits. || Step 2 | Teacher: Display the following problem: 6)242. Read the problem. We're dividing by 6. If the first digit in the number we're dividing is at least as big as 6, we underline the first digit in 242. If 6 can't go into the first digit, we underline the first two digits. Look at the numeral we're dividing into. The first digit we're dividing into is 2. Is 2 at least as big as 6? So we underline the first two digits. (Underline 24.) The underlined problem says 6 goes into 24. What does the underlined problem say? | Student: 6 goes into 242. No. 6 goes into 24. | Notes: Repeat step 2 with these problems: a. 5)87 b. 9)328 c. 4)38 d. 6)62 e. 3)245 f. 7)832 || Part: Part B: Worksheet on Determining Where to Begin | Steps: Step 1 | Teacher: Provide a worksheet with the following problems: a. 7)248 b. 3)527 c. 7)486 d. 5)532 e. 5)234 f. 6)184 g. 6)932 h. 4)128 i. 4)436 j. 8)264. || Step 2 | Teacher: Focus on problem a. Read the problem. You're going to underline the part of the problem you work first. What are you dividing by? Is the first digit you're dividing into at least as big as 7? So what do you underline? Underline 24. Say the underlined problem. | Student: 7 goes into 248. 7. No. 24. 7 goes into 24. | Notes: Repeat step 2 with five problems. Then have students underline the part they work first in remaining problems. || Part: Part C: Structured Board Presentation | Steps: Step 1 | Teacher: Display the following problem: 5)213. Read this problem. Tell me the part to underline. | Student: 5 goes into 213. 21 | Notes: To correct: Look at the first digit. Is 2 at least as big as 5? No. So what do you underline? What does the underlined problem say? (Student response: 21. 5 goes into 21.) || Step 2 | Teacher: How many times does 5 go into 21? | Student: 4 || Step 3 | Teacher: I'll write the 4 over the last digit underlined. (Display the 4 in the quotient). || Step 4 | Teacher: Now multiply 4x5. What is 4 × 5? Now I subtract 20 from 21. What is 1 - 0? | Student: 20. 1 | Notes: Display 20 below 21 and 1 as the result of subtraction. || Step 5 | Teacher: What's the next digit after the underlined part? I bring it down and write it after the 1. What numeral is under the line now? | Student: 3. 13 | Notes: Display the problem with 3 brought down, showing 13. || Step 6 | Teacher: The next part of the problem says 5 goes into 13. What does the problem say now? How many times does 5 go into 13? I write the 2 above the digit I brought down. | Student: 5 goes into 13. 2 | Notes: Display 2 in the quotient next to the 4. || Step 7 | Teacher: Now I multiply and subtract. What is 2 × 5? I write 10 under the 13. What is 13 minus 10? | Student: 10. 3 | Notes: Display 10 below 13 and 3 as the remainder. || Step 8 | Teacher: The problem is finished. Every digit after the underlined part has a digit over it. 5 goes into 213, forty-two times with a remainder of 3. How many times does 5 go into 213? | Student: 42 times with a remainder of 3. | Notes: Repeat steps 1-8 with 7)94, 2)135, 3)65. || Part: Part D: Structured Worksheet | Steps: Step 1 | Teacher: Provide a worksheet with problems like 3)137. Focus on the first problem. Read the problem. What do you underline? | Student: 3 goes into 137. 13 || Step 2 | Teacher: Underline 13. What does the underlined problem say? | Student: 3 goes into 13. || Step 3 | Teacher: How many times does 3 go into 13? Write 4 above the last digit you underlined. | Student: 4 || Step 4 | Teacher: What numbers do you multiply? What is 4 × 3? | Student: 4 × 3. 12 || Step 5 | Teacher: Write 12 under 13, then subtract. What is 13 - 12? | Student: 1 || Step 6 | Teacher: What is the next digit in the number you're dividing into? Bring down the 7 and write it next to the 1. | Student: 7 || Step 7 | Teacher: What numeral is under the line? What does this part of the problem say? How many times does 3 go into 17? | Student: 17. 3 goes into 17. 5 || Step 8 | Teacher: Write the 5 above the digit you brought down. || Step 9 | Teacher: What numbers do you multiply? What is 5 × 3? Write 15 under 17 and subtract. What is 17 - 15? Is there another numeral to bring down? | Student: 5 × 3. 15. 2. No || Step 10 | Teacher: Every digit after the underlined part has a digit over it. So you finished the problem. What's the remainder? How many times does 3 go into 137? | Student: 2. 45 with a remainder of 2. | Notes: Repeat steps 1-10 with additional problems. || Part: Part E: Less Structured Worksheet | Steps: Step 1 | Teacher: Provide a worksheet with problems like 4)69. Focus on the problem. Read the problem. Underline the part you work first. Say the underlined problem. How many times does 4 go into 6? | Student: 4 goes into 69. 4 goes into 6. 1 || Step 2 | Teacher: Write the 1, multiply, subtract, and then bring down the next digit. What numeral is under the line now? | Student: 29 || Step 3 | Teacher: Say the new problem. How many times does 4 go into 29? Write 7 in the answer. Then multiply and subtract. Is there another numeral to bring down? Is the problem finished? | Student: 4 goes into 29. 7. No. Yes || Step 4 | Teacher: How many times does 4 go into 69? | Student: 17 with a remainder of 1. | Notes: Repeat steps 1-4 with additional problems."
Division,10.7,ROUNDING TO NEAREST TENS UNIT,4,"Format 10.7 | Title: ROUNDING TO NEAREST TENS UNIT | Grade: 4 | Parts: Part: Part A: Expressing Numerals As Tens Units | Steps: Step 1 | Teacher: Display the following numeral on the board: 190. What number? Another way of saying 190 is 19 tens. What's another way of saying 190? | Student: 190. 19 tens || Step 2 | Teacher: Repeat step 1 with 80 and 230. || Step 3 | Teacher: What's another way of saying 140? | Student: 14 tens || Step 4 | Teacher: Repeat step 3 with 280, 30, 580, 420, 60, 500, 280, 40, and 700. || Part: Part B: Structured Board Presentation | Steps: Step 1 | Teacher: Display the following numeral: 186. What number? | Student: 186 || Step 2 | Teacher: Is 186 closer to 180 or 190? | Student: 190 | Notes: To correct: If we have at least 5 in the ones column, we round off to the next higher tens unit. How many ones in 186? So we round off to 190. || Step 3 | Teacher: So is 186 closer to 18 tens or 19 tens? | Student: 19 tens | Notes: To correct: 186 is closer to 190. How many tens in 190? || Step 4 | Teacher: Repeat steps 2 and 3 with 142, 83, 47, 286, 432, 27, and 529. || Part: Part C: Structured Worksheet | Steps: Step 1 | Teacher: Provide a worksheet with problems such as: 142 = __ tens, 87 = __ tens, etc. || Step 2 | Teacher: Round off these numerals to the nearest ten. Write how many tens in the rounded off numeral. || Step 3 | Teacher: Focus on the first numeral. Read the first numeral. | Student: 142 || Step 4 | Teacher: Think: 142 is closest to how many tens? | Student: 14 tens | Notes: To correct: Is 142 closer to 140 or 150? So, is 142 closer to 14 or 15 tens? || Step 5 | Teacher: Write 14 in the blank. | Notes: Repeat steps 3-5 with several more problems and then have the students complete the rest independently."
Division,10.8,CORRECT ESTIMATED QUOTIENTS WITH TWO-DIGIT DIVISORS,5,"Format 10.8 | Title: CORRECT ESTIMATED QUOTIENTS WITH TWO-DIGIT DIVISORS | Grade: 5 | Parts: Part: Part A: Preskill—Multiplying Quotient Times Divisor Structured Board Presentation | Steps: Step 1 | Teacher: Display the problem: 4 on top of 54)231. This problem says 54 goes into 231 four times. What does the problem say? | Student: 54 goes into 231 four times. || Step 2 | Teacher: We have to figure out the remainder. We multiply 4 × 54. What do we multiply? | Student: 4 × 54 || Step 3 | Teacher: When I multiply 4 × 54, first I multiply 4 × 4, then I multiply 4 × 5. What is 4 × 4? I write the 6 under the last underlined digit and write the 1 above the 5 in 54. | Student: 16 | Notes: The problem is displayed as: 1 above the 5, 4 above the 1 in 231, and 6 below the 1. || Step 4 | Teacher: Now I multiply 4 × 5 and add the 1 I renamed. What is 4 × 5? And 1 more is? I write the 21 in front of the 6. | Student: 20. 21 | Notes: The problem is displayed with 216 below 231. || Step 5 | Teacher: What is 4 × 54? | Student: 216 || Step 6 | Teacher: We subtract 216 from 231 to figure out the remainder. Can we start with 1 and subtract 6? We must rename. What is 11 - 6? What is 2 - 1? | Student: No. 5. 1 || Step 7 | Teacher: 54 goes into 231 four times with a remainder of 15. Say that. | Student: 54 goes into 231 four times with a remainder of 15. | Notes: Repeat steps 1-7 with the problems 48)156 (3) and 94)413 (4). || Part: Part A: Preskill—Multiplying Quotient Times Divisor Structured Worksheet | Steps: Step 1 | Teacher: Provide a worksheet with problems like: a. 3/27)103, b. 6/46)278, c. 5/14)80. || Step 2 | Teacher: Read problem a. | Student: 27 goes into 103 three times. || Step 3 | Teacher: You need to multiply 3 × 27. When you multiply 3 × 27, what do you multiply first? | Student: 3 X 7 || Step 4 | Teacher: What is 3 × 7? Write the 1 and the 2 tens. Now what do you multiply? What is 3 × 2? Add the 2 above the tens column. What's the answer? Write the 8. | Student: 21. 3 × 2. 6. 8 | Notes: To correct: Write the 1 under the 3. Write the 2 tens above the 2 in 27. || Step 5 | Teacher: Figure out the remainder. Be careful to rename. || Step 6 | Teacher: What is the remainder? Yes, 27 goes into 103 three times with a remainder of 22. Say that. | Student: 22. 27 goes into 103 three times with a remainder of 22. | Notes: Repeat steps 2-6 with several problems, then have students work additional problems independently. || Part: Part B: Preskill-Estimation Structured Board Presentation | Steps: Step 1 | Teacher: Display the problem and a box for rounding off: 37)932 [ ]. What does the problem say? | Student: 37 goes into 932. || Step 2 | Teacher: We have to underline the part we work first. Does 37 go into 9? Does 37 go into 93? So I underline the first two digits. | Student: No. Yes || Step 3 | Teacher: I'll read the part we work first: 37 goes into 93. Say the part we work first. | Student: 37 goes into 93. || Step 4 | Teacher: To find out how many times 37 goes into 93, we must round off. The box next to the problem is for rounding off. || Step 5 | Teacher: First I round off 37; 37 is rounded off to how many tens? 93 is rounded off to how many tens? Read the rounded-off problem. | Student: 4. 9. 4 goes into 9. | Notes: To correct for rounding 93: If we have at least 5 in the ones column, we round off to the next higher tens unit. How many ones in 93? So we round off to 9. || Step 6 | Teacher: Four goes into nine how many times? So in the problem we started with, I write 2 over the last underlined digit. | Student: 2 | Notes: Repeat steps 1-6 with 24)136, 52)386, 34)942. || Part: Part B: Preskill-Estimation Structured Worksheet | Steps: Step 1 | Teacher: Provide a worksheet with problems and rounding boxes like: a. 79)246 [ ], b. 49)538 [ ], c. 27)943 [ ], d. 36)193 [ ]. || Step 2 | Teacher: What does problem a say? | Student: 79 goes into 246. || Step 3 | Teacher: What digits do you underline? Underline the part you work first. Say the underlined problem. | Student: 246. 79 goes into 246. || Step 4 | Teacher: Let's write the rounded-off problem for 79 into 246 in the box. How many tens does 79 round off to? Write 8 in the box. How many tens does 246 round off to? Write 25 in the box. Read the rounded-off problem. Eight goes into 25 how many times? | Student: 8. 25. 8 goes into 25. 3 || Step 5 | Teacher: Write the answer in the problem you started with. Write it above the last underlined digit. | Notes: Repeat steps 2-4 with the remaining problems, then have students work additional problems on their own. || Part: Part C: Structured Worksheet | Steps: Step 1 | Teacher: Provide a worksheet with problems and rounding boxes like: 38)1432. Read the problem. Underline the part you work first. What did you underline? Read the underlined problem. | Student: 38 goes into 1432. 143. 38 goes into 143. || Step 2 | Teacher: Write the rounded-off problem in the box. How many tens does 38 round off to? Write 4. How many tens does 143 round off to? Write 14. Read the rounded-off problem. | Student: 4. 14. 4 goes into 14. || Step 3 | Teacher: 4 goes into 14 how many times? Write 3 above the last digit you underlined. | Student: 3 || Step 4 | Teacher: Now we multiply 3 × 38. What is 3 × 8? Write 4 below the last underlined digit. Write the 2 above the 3 in 38. Now multiply 3 × 3 and add 2. What's the answer? Write 11 next to the 4. | Student: 24. 11 || Step 5 | Teacher: Now subtract 114 from 143. What is 143 - 114? | Student: 29 || Step 6 | Teacher: Let's see if there’s a second part to work. Is there a digit after the underlined part to bring down? | Student: Yes | Notes: If the answer is no, skip steps 7-10 and go to step 11. || Step 7 | Teacher: Bring down that digit. What numeral is under the line now? Say the new problem. | Student: 292. 38 goes into 292. || Step 8 | Teacher: Let's write the rounded-off problem in the second box. How many tens does 38 round off to? Write 4. How many tens does 292 round off to? Write 29. Read the rounded-off problem. | Student: 4. 29. 4 goes into 29. || Step 9 | Teacher: How many times does 4 go into 29? Write 7 in the problem you started with. Write it above the 2 you brought down. | Student: 7 || Step 10 | Teacher: Now we multiply 7 × 38. What do we multiply? Multiply and write the answer below 292. What is 7 × 38? Subtract 292 - 266 to find the remainder. What's 292 - 266? Are there any more digits to bring down? | Student: 7 × 38. 266. 26. No || Step 11 | Teacher: So you're done with the problem. How many times does 38 go into 1432? | Student: 37 times with a remainder of 26. | Notes: Repeat steps 1-11 with several more problems. || Part: Part D: Less Structured Worksheet | Steps: Step 1 | Teacher: Provide a worksheet with problems like: 18)604. Read the problem. Underline the part you work first. What did you underline? Read the underlined problem. | Student: 18 goes into 604. 60. 18 goes into 60. || Step 2 | Teacher: Write the rounded-off problem in the upper box. Say the rounded-off problem. | Student: 2 goes into 6. || Step 3 | Teacher: Write the answer, then multiply. Say the subtraction problem. Subtract 60 - 54. What is 60 - 54? | Student: 60 - 54. 6 || Step 4 | Teacher: What do you do next? Do it. | Student: Bring down the 4. || Step 5 | Teacher: Say the new problem. | Student: 18 goes into 64. || Step 6 | Teacher: Write the rounded-off problem in the second box. Say the rounded-off problem. | Student: 2 goes into 6. || Step 7 | Teacher: Write the answer, then multiply and subtract. What is the remainder? | Student: 10 || Step 8 | Teacher: Are you finished? How many times does 18 go into 604? | Student: 33 times with a remainder of 10."
Division,10.9,INCORRECT ESTIMATED QUOTIENTS,5,"Format 10.9 | Title: INCORRECT ESTIMATED QUOTIENTS | Grade: 5 | Parts: Part: Part A: Structured Worksheet | Steps: Step 1 | Teacher: Provide a worksheet with pre-filled problems such as: a. 4/37)142, b. 5/48)299, c. 5/48)299, d. 4/79)115, e. 3/46)192, f. 3/52)148, g. 4/82)318, h. 5/34)178, i. 2/26)51. || Step 2 | Teacher: The answers to some of these problems are wrong. To find out which ones are wrong, you figure out the remainder. If you can't subtract, you must make the answer smaller. If you find a remainder, but it is too big, you must make the answer bigger. || Step 3 | Teacher: Focus on problem a. What does the problem say? | Student: 37 goes into 142 four times. || Step 4 | Teacher: What are you going to multiply? Do the multiplication. Write the minus sign and stop. | Student: 4 × 37. || Step 5 | Teacher: Say the subtraction problem. | Student: 142 - 148 || Step 6 | Teacher: Can you subtract 142 minus 148? We can't subtract, so we must make the answer smaller. | Student: No || Step 7 | Teacher: So you have to cross out the 4 and write a 3 above it. Do it, then erase the 148. || Step 8 | Teacher: Now multiply 3 × 37. || Step 9 | Teacher: Read the subtraction problem now. | Student: 142-111 || Step 10 | Teacher: Subtract and figure out the remainder. What is the remainder? That’s all we do for now. | Student: 31 | Notes: The following steps are for problems in which the estimated quotient is too small, such as problem b: 5/48)299. || Step 11 | Teacher: Say the subtraction problem. | Student: 299 - 240 | Notes: This corresponds to step 5a in the text. || Step 12 | Teacher: Can you subtract 240 from 299? Subtract. What is the remainder? Is the remainder too big? You can make another group, so we make the answer bigger. Cross out the 5 and write 6. Erase 240. | Student: Yes. 59. Yes | Notes: This corresponds to step 6a in the text. To correct 'Is the remainder too big?': What are we dividing by? Is the remainder at least as big as 48? || Step 13 | Teacher: Now multiply 6 × 48. | Notes: This corresponds to step 7a in the text. || Step 14 | Teacher: Read the subtraction problem now. Subtract. | Student: 299 - 288 | Notes: This corresponds to step 8a in the text. || Step 15 | Teacher: What's the answer? Can we make another group of 48? So we're all finished. | Student: 11. No | Notes: This corresponds to step 9a in the text. Repeat with remaining problems. || Part: Part B: Less Structured Worksheet | Steps: Step 1 | Teacher: Provide a worksheet with problems like: a. 42)197, b. 36)203, c. 58)232. || Step 2 | Teacher: Focus on problem a. Read the problem. | Student: 42 goes into 197. || Step 3 | Teacher: Underline the part you work first. || Step 4 | Teacher: Write the rounded-off problem. Say the rounded-off problem. | Student: 4 goes into 20. || Step 5 | Teacher: What is the answer? Multiply 5 × 42. Can you subtract? | Student: 5. No || Step 6 | Teacher: If 'no' to previous question: So what must you do? Fix your answer then multiply and subtract. If 'yes' to previous question: Subtract ___ from ___. What is the remainder? Is the remainder too big? (If yes) So what must we do? Erase ___ and write ___, then multiply and subtract. What is the remainder? Is that remainder too big? So we're finished. Say the whole answer. | Notes: Repeat steps 2-6 with remaining problems."
Problem Solving,7.1,EQUALITY INTRODUCTION,1,Format 7.1 | Title: EQUALITY INTRODUCTION | Grade: 1 | Parts: Part: Part A: Introduction | Steps: Step 1 | Teacher: Present: Today we're going to learn about a new kind of problem. In these problems we're going to work with an equal sign. Here's an equal sign. Display: =. Present: What kind of sign is this? | Student: An equal sign. || Step 2 | Teacher: Present: Right. An equal sign. When you have an equal sign it means that the side on this side of the equal sign (highlight left side) has the same value as the side on this side of the equal sign (highlight right side). || Part: Part B: Examples | Steps: Step 1 | Teacher: Display: 4 + 2 = 6. Present: Let's read this number sentence together. | Student: 4 plus 2 equals 6. || Step 2 | Teacher: Present: Does 4 plus 2 have the same value as 6? | Student: Yes. || Step 3 | Teacher: Present: So this is a true statement.
Problem Solving,7.2,STORY PROBLEMS,1,"Format 7.2 | Title: STORY PROBLEMS | Grade: 1 | Parts: Part: Part A: Guided Practice | Description: Teacher guides students through a story problem, step-by-step. | Steps: Step 1 | Teacher: Display: A farmer has 5 cows. The farmer buys 3 more cows. How many cows does the farmer have in all? Present: Let's read the story problem. | Student: A farmer has 5 cows. The farmer buys 3 more cows. How many cows does the farmer have in all? || Step 2 | Teacher: Present: What is the first number you see in the problem? | Student: 5. | Notes: Students should identify the numbers || Step 3 | Teacher: Present: What is the next number? | Student: 3. || Step 4 | Teacher: Present: The problem says 'buys 3 more cows'. Does that mean we add or subtract? | Student: Add. || Step 5 | Teacher: Present: So what is the number sentence for this problem? | Student: 5 + 3 = ? || Step 6 | Teacher: Present: What is the answer? | Student: 8."
Problem Solving,7.3,MORE STORY PROBLEMS,1,Format 7.3 | Title: MORE STORY PROBLEMS | Grade: 1 | Parts: Part: Part A: Subtraction Story | Steps: Step 1 | Teacher: Display: There are 10 birds on a wire. 4 birds fly away. How many birds are left? Present: Let's read this story. | Student: There are 10 birds on a wire. 4 birds fly away. How many birds are left? || Step 2 | Teacher: Present: What are the numbers in this problem? | Student: 10 and 4. || Step 3 | Teacher: Present: The problem says '4 birds fly away'. Does that mean we add or subtract? | Student: Subtract. || Step 4 | Teacher: Present: What is the number sentence? | Student: 10 - 4 = ? || Step 5 | Teacher: Present: And the answer is? | Student: 6.
